spectral envelope,min runtime (ms),max runtime (ms),median runtime (ms)
0.5,15.732657,64.354968,18.725464
1.0,16.461858,70.070505,19.437319000000002
5.0,18.357691000000003,68.124641,21.081844
10.0,18.828494,75.629449,21.744498
15.0,19.113282,74.10749200000001,22.151347
20.0,19.551764000000002,82.086599,22.4274495
25.0,19.648891000000003,78.249694,22.725188499999998
