precision,min runtime (ms),max runtime (ms),median runtime (ms)
0.0001,8.637907,42.606357,9.010743
1.0e-5,9.055446,43.951746,9.429265000000001
1.0e-6,9.45147,42.295455000000004,9.817432
1.0e-7,9.441055,43.392064,9.822679
1.0e-8,9.82765,40.618727,10.2070015
1.0e-9,10.239455000000001,42.879993000000006,10.6188265
1.0e-10,10.222784,41.697328000000006,10.627053
1.0e-11,10.643459,42.275673999999995,11.027375500000002
1.0e-12,11.024532,41.859062,11.4104745
1.0e-15,10.635648000000002,44.020889,11.081090000000001
