system size,overhead (runtime percent)
5,69.45493242298492
10,65.3731543281736
50,39.649624159680954
100,29.08114935556351
200,24.654465022329177
300,10.163840249927532
400,3.581747002219771
500,3.7678462433823654
600,3.5303998438381825
700,2.497757310669101
800,2.417236250445555
900,2.009578796271299
1000,1.870616120997198
