precision,min runtime (ms),max runtime (ms),median runtime (ms)
0.0001,53.244402,94.631225,55.762898500000006
1.0e-5,58.950914000000004,119.99841,61.668412000000004
1.0e-6,65.878208,127.61955699999999,69.1408445
1.0e-7,65.93657800000001,134.569784,68.35653400000001
1.0e-8,73.24228000000001,135.57255500000002,76.219357
1.0e-9,79.341435,139.761294,81.81479900000001
1.0e-10,86.35987,168.109506,88.32597650000001
1.0e-11,87.387179,160.018379,89.325424
1.0e-12,92.696381,179.35983500000003,94.946973
1.0e-15,93.34849,166.148133,95.480611
